
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Introduzca la contraseña correcta arriba y, a continuación, escriba los caracteres que ve en la imagen siguiente.
#From:regenerate,Regenerate
regenerate,Regenerar
#From: bwn.msg.DHCPDesc,Use this Internet connection type if your Internet Service Provider (ISP) didn't provide you with IP Address information and/or a username and password.
bwn.msg.DHCPDesc, Use este tipo de conexión a internet si su proveedor de servicios internet (ISP) no le proporciona la información de dirección IP y/o un nombre de usuario y clave de acceso.
#From: bwn.BPICT,Big Pond Internet Connection Type
bwn.BPICT, Tipo de conexión a internet con Big Pond
#From: bwn.PPPOEICT,PPPOE Internet Connection Type
bwn.PPPOEICT, Tipo de conexión a internet con PPPOE
#From: bwn.PPTPICT,PPTP Internet Connection Type
bwn.PPTPICT, Tipo de conexión a internet con PPTP
#From: bwn.L2TPICT,L2TP Internet Connection Type
bwn.L2TPICT, Tipo de conexión a internet con L2TP
#From: bwn.msg.SWM,Enter the static address information provided by your Internet Service Provider (ISP).
bwn.msg.SWM, Entre la información de dirección estática proporcionada por su proveedor de servicios internet (ISP)
#From: .defgw,Default Gateway
.defgw,Puerta de enlace predeterminada
#From: .hostname,Host Name
.hostname,Nombre del Host
#From: .use_unicasting,Use Unicasting
.use_unicasting,Utilizar Unicasting (Unidifusión)
#From: bw.WDUU.note,(compatibility for some DHCP Servers)
bw.WDUU.note,(compatibilidad para algunos servidores DHCP)
#From: bwn.BPS,BigPond Server
bwn.BPS,Servidor BigPond
#From: bwn.BPU,BigPond User Id
bwn.BPU,Id de usuario de BigPond
#From: bwn.BPP,BigPond Password
bwn.BPP,Contraseña BigPond
#From: .verifypw,Verify Password
.verifypw,Verificar contraseña
#From: bwn.AM,Address Mode
bwn.AM, Modo de dirección
#From: carriertype.ct.0,Dynamic IP
carriertype.ct.0,IP dinámica
#From: bwn.UN,Username
bwn.UN,Nombre de usuario
#From: .password,Password
.password,Contraseña
#From: .srvname,Service Name
.srvname,Nombre del servicio
#From: .optional,(optional)
.optional,(Opcional)
#From: bwn.RM,Reconnect Mode
bwn.RM, Modo de reconexión
#From: bwn.RM.0,Always on
bwn.RM.0,Siempre activado
#From: bwn.RM.1,On demand
bwn.RM.1,A petición
#From: bwn.RM.2,Manual
bwn.RM.2,Manual
#From: bwn.MIT,Maximum Idle Time
bwn.MIT,Tiempo máximo de inactividad
#From: bwn.min,(minutes, 0=infinite)
bwn.min,(minutos, 0=infinito)
#From: .PPTPip,PPTP IP Address
.PPTPip,Dirección IP de PPTP
#From: .PPTPsubnet,PPTP Subnet Mask
.PPTPsubnet,Máscara de subred PPTP
#From: .PPTPgw,PPTP Gateway IP Address
.PPTPgw,Dirección IP de puerta de enlace PPTP
#From: bwn.PPTPSIPA,PPTP Server IP Address
bwn.PPTPSIPA,Dirección IP de servidor PPTP
#From: .L2TPip,L2TP IP Address
.L2TPip,Dirección IP de L2TP
#From: .L2TPsubnet,L2TP Subnet Mask
.L2TPsubnet,Máscara de subred de L2TP
#From: .L2TPgw,L2TP Gateway IP Address
.L2TPgw,Dirección IP de puerta de enlace de L2TP
#From: bwn.L2TPSIPA,L2TP Server IP Address
bwn.L2TPSIPA,Dirección IP del servidor L2TP
#From: .dns1,Primary DNS Server
.dns1,Servidor DNS primario
#From: .dns2,Secondary DNS Server
.dns2,Servidor DNS secundario
#From: bwn.MTU,MTU
bwn.MTU,MTU
#From: bwn.bytes,(bytes)
bwn.bytes, (bytes)
#From: 308,MTU default =
308,MTU predeterminado =
#From: .clonemac,Clone Your PC's MAC Address
.clonemac,Clonar la dirección MAC de su PC
#From: .badssid,The SSID field can not be blank
.badssid,El campo SSID no puede estar en blanco
#From: bwl.alert.2,Can not use 802.11b/g channel when the 802.11 mode is 802.11a
bwl.alert.2,No se puede utilizar el canal 802.11b/g cuando el modo 802.11 es 802.11a
#From: bwl.alert.3,Can not use 802.11a channel when the 802.11 mode is 802.11b/g
bwl.alert.3,No se puede utilizar el canal 802.11a cuando el modo 802.11 es 802.11b/g
#From: bwl.alert.15, RADIUS server Port field can not be blank.
bwl.alert.15, El campo del puerto del servidor RADIUS no puede quedar vacío
#From: bwl.alert.16, RADIUS server Port ' + data.wireless.radius_server_port + ' should be in range (1..65535).
bwl.alert.16, El puerto del servidor RADIUS ' + data.wireless.radius_server_port + ' debe estar dentro de (1..65535).
#From: bwl.alert.4,Can not use 802.11b transmit rates when the PHY mode is 802.11a
bwl.alert.4,No se pueden utilizar velocidades de transmisión 802.11b cuando el modo PHY es 802.11a
#From: bwl.alert.5,Can not use 802.11a/g transmit rates when the PHY mode is 802.11b
bwl.alert.5,No se pueden utilizar velocidades de transmisión 802.11a/g cuando el modo PHY es 802.11b
#From: bwl.alert.6,Static Turbo mode is not allowed with 802.11b
bwl.alert.6,El modo Turbo estático no está permitido con 802.11b
#From: bwl.alert.7,Dynamic Turbo mode is not allowed with 802.11b
bwl.alert.7,El modo Turbo dinámico no está permitido con 802.11b
#From: bwl.alert.8,For 11g Turbo mode, the channel should be set to 6
bwl.alert.8,Para el modo Turbo 11g, se debe establecer el canal en 6
#From: bwl.alert.9,For 11a Static Turbo, channel should be set to one of 42,50,58,152, or 160.
bwl.alert.9,Para el Turbo estático 11a, se debe establecer el canal en 42, 50, 58, 152, ó 160.
#From: bwl.alert.10,For 11a Dynamic Turbo, channel should be set to one of 40,48,56,153 or 161.
bwl.alert.10,Para el Turbo dinámico 11a, se debe establecer el canal en 40, 48, 56, 153 ó 161.
#From: bws.alert.2,Incorrect key length, should be 8 to 64 character long.
bws.alert.2,Longitud incorrecta de la clave, debe tener una longitud de 8 a 64 caracteres.
#From: bwl.alert.11,WPA Group Key Update Interval should be between 30 and 65535 seconds.
bwl.alert.11,El intervalo de actualización de clave de grupo WPA debe estar comprendido entre 30 y 65535 segundos.
#From: bwl.alert.12,IEEE 802.1X Authentication Timeout should be between 1 and 65535 minutes
bwl.alert.12, El tiempo de espera para la autentificación IEEE 802.1X debe estar comprendido entre 1 y 65535 minutos
#From: bwl.alert.13,'The IP address "' + data.wireless.radius_server_address + '" is not valid.'
bwl.alert.13, 'La dirección IP "' + data.wireless.radius_server_address + '"no es válida.'
#From: bwl.alert.14,'The IP address "' + data.wireless.second_radius_server_address + '" is not valid.'
bwl.alert.14, ' La dirección IP "' + data.wireless.second_radius_server_address + '"no es válida.'
#From: bwl.title.1,Wireless Network Settings
bwl.title.1, Parámetros de red inalámbrica
#From: bwl.Intro.1,Use this section to configure the wireless settings for your D-Link Router. Please note that changes made on this section may also need to be duplicated on your Wireless Client.
bwl.Intro.1, Use esta sección para configurar los parámetros inalámbricos para su D-Link Router. Recuerde que es posible que tenga que realizar los cambios hechos en esta sección también en su cliente inalámbrico
#From: bwl.EW,Enable Wireless
bwl.EW, Habilitar red inalámbrica
#From: bwl.NN,Wireless Network Name
bwl.NN, Nombre de red inalámbrica
#From: bwl.AS,(Also called the SSID)
bwl.AS, (También llamado SSID)
#From: ebwl.AChan,Enable Auto Channel Scan
ebwl.AChan, Habilitar el rastreo automático de canal
#From: .wchannel,Wireless Channel
.wchannel, Canal inalámbrico
#From: bwl.Mode,802.11 Mode
bwl.Mode, Modo 802.11
#From: bwl.Mode.a,802.11a only
bwl.Mode.a, 802.11a sólo
#From: bwl.Mode.n,802.11n only
bwl.Mode.n, 802.11n sólo
#From: bwl.Mode.2,802.11g only
bwl.Mode.2, 802.11g sólo
#From: bwl.Mode.3,Mixed 802.11g and 802.11b
bwl.Mode.3, Mezclado 802.11g y 802.11b
#From: bwl.Mode.4,Mixed 802.11n and 802.11g
bwl.Mode.4, Mezclado 802.11n y 802.11g
#From: bwl.Mode.5,Mixed 802.11n and 802.11a
bwl.Mode.5, Mezclado 802.11n y 802.11a
#From: bwl.Mode.1,802.11b only
bwl.Mode.1, 802.11b sólo
#From: bwl.Mode.8,802.11ng only
bwl.Mode.8, 802.11ng sólo
#From: bwl.Mode.11,Mixed 802.11ng, 802.11g and 802.11b
bwl.Mode.11, Mezclado 802.11ng, 802.11g y 802.11b
#From: bwl.Mode.12,Mixed 802.11gn 802.11g and 802.11b
bwl.Mode.12, Mezclado 802.11n, 802.11g y 802.11b
#From: bwl.CWM,Channel Width
bwl.CWM, Ancho de canal
#From: bwl.ht20,20 MHz
bwl.ht20, 20 MHz
#From: bwl.ht2040,Auto 20/40 MHz
bwl.ht2040, Auto 20/40 MHz
#From: bwl.TxR,Transmission Rate
bwl.TxR,Velocidad de transmisión
#From: bwl.TxR.0,Best (automatic)
bwl.TxR.0, Mejor (automático)
#From: bwl.MS,(Mbit/s)
bwl.MS,(Mbit/s)
#From: bwl.VS,Visibility Status
bwl.VS, Estatus de visibilidad
#From: bwl.VS.0,Visible
bwl.VS.0, Visible
#From: bwl.VS.1,Invisible
bwl.VS.1, Invisible
#From: bws.WSMode,Wireless Security Mode
bws.WSMode, Modo de seguridad inalámbrica
#From: bws.SM,Security Mode
bws.SM,Modo de seguridad
#From: .none,None
.none,Ninguno
#From: .WPApersonal,WPA-Personal
.WPApersonal, WPA-Personal
#From: .WPAenterprise,WPA-Enterprise
.WPAenterprise, WPA-Enterprise
#From: .WPA,WPA
.WPA,WPA
#From: bws.WPAM,WPA Mode
bws.WPAM,Modo WPA
#From: bws.WPAM.3,WPA2 Only
bws.WPAM.3,Sólo WPA2
#From: bws.GKUI,Group Key Update Interval
bws.GKUI, Intervalo de actualización de grupo de claves
#From: bws.secs,(seconds)
bws.secs, (segundos)
#From: .psk,Pre-Shared Key
.psk, Clave precompartida
#From: bws.EAPx,EAP (802.1x)
bws.EAPx,EAP (802.1x)
#From: bws.msg.EAP,When WPA enterprise is enabled, the router uses EAP (802.1x) to authenticate clients via a remote RADIUS server.
bws.msg.EAP, Cuando está habilitada WPA enterprise, el router usa EAP (802.1x) para autentificar los clientes por medio de un servidor remoto RADIUS.
#From: bwsAT.,Authentication Timeout
bwsAT., Tiempo de espera para la autentificación
#From: bws.RIPA,RADIUS server IP Address
bws.RIPA, Dirección IP del servidor RADIUS
#From: bws.RSP,RADIUS server Port
bws.RSP, Puerto del servidor RADIUS
#From: bws.RSSs,RADIUS server Shared Secret
bws.RSSs, Secreto compartido del servidor RADIUS
#From: bws.RMAA,MAC Address Authentication
bws.RMAA, Autentificación de dirección MAC
#From: bws.ORAD,Optional backup RADIUS server
bws.ORAD, Copia de seguridad opcional del servidor RADIUS
#From: bws.2RIPA,Second RADIUS server IP Address
bws.2RIPA, Segunda dirección IP del servidor RADIUS
#From: bws.2RSP,Second RADIUS server Port
bws.2RSP, Segundo puerto del servidor RADIUS
#From: bws.2RSSS,Second RADIUS server Shared Secret
bws.2RSSS, Segundo secreto compartido del servidor RADIUS
#From: bws.2RMAA,Second MAC Address Authentication
bws.2RMAA, Segunda autentificación de la dirección MAC
#From: .wizard,Wizard
.wizard,Asistente
#From: bwz.intro,The D-Link Wireless Gaming Router&trade; powered by QoS Engine&trade; technology meets the demands of individuals who demand powerful and reliable performance for the ultimate online gaming experience.
bwz.intro, El router inalámbrico para juegos D-Link &trade; alimentado por la tecnología QoS Engine&trade; satisface las demandas de usuarios que exigen un potente y fiable rendimiento para la última experiencia de juego en línea
#From: int.ConWz,Internet Connection Setup Wizard
int.ConWz,Asistente de configuración para la conexión a Internet
#From: bwz.intro.ConWz,The following Web-based Setup Wizard is designed to assist you in connecting your new D-Link Router to the Internet. This Setup Wizard will guide you through step-by-step instructions on how to get your Internet connection up and running. Click the button below to begin.
bwz.intro.ConWz, El siguiente asistente de configuración basado en web está diseñado para ayudarle a conectar su nuevo D-Link Router a internet. Este asistente le guiará a través de instrucciones detalladas para pueda tener  su conexión a internet a punto y en funcionamiento. Haga clic sobre el botón de abajo para empezar
#From: bwz.LConWz,Launch Internet Connection Setup Wizard
bwz.LConWz, Ejecutar el asistente de configuración de la conexión a internet
#From: bwz.WlsWz,Wireless Security Setup Wizard
bwz.WlsWz, Asistente de configuración de la seguridad inalámbrica
#From: bwz.intro.WlsWz,The following Web-based Setup Wizard is designed to assist you in your wireless network setup. This Setup Wizard will guide you through step-by-step instructions on how to set up your wireless network and how to make it secure.
bwz.intro.WlsWz, El asistente de configuración basado en web está diseñado para ayudarle a configurar su red inalámbrica. Este asistente le guiará a través de las instrucciones detalladas para que configure su red inalámbrica y lo haga de una forma segura.
#From: bwz.LWlsWz,Launch Wireless Security Setup Wizard
bwz.LWlsWz, Ejecutar el asistente de configuración de seguridad inalámbrica
#From: bwz.note.WlsWz,Some changes made using this Setup Wizard may require you to change some settings on your wireless client adapters so they can still connect to the D-Link Router.
