
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Immettere la password corretta, quindi digitare i caratteri visualizzati nell'immagine seguente.
#From:regenerate,Regenerate
regenerate,Ricrea
help254.ict, Ci sono parecchi tipi di collegamento da scegliere da: IP Statico, DHCP, PPPoE, PPTP e L2TP. Se siete incerti del vostro metodo del collegamento, mettasi in contatto con prego il vostro Internet Service Provider. Nota: Se usando l'opzione di PPPoE, dovrete accertarsi che tutto il software del cliente di PPPoE sui vostri computer sia rimosso o inabilitato.
#From: bwn.SWM,Static WAN Mode
bwn.SWM, Statico WAN Modo
#From: help255,Used when your ISP provides you a set IP address that does not change. The IP information is manually entered in your IP configuration settings. You must enter the
help255, Usato quando il vostro ISP vi fornisce un IP indirizzo dell'insieme che non cambia. Le informazioni del IP sono inserite manualmente nelle vostre regolazioni di configurazione del IP. Dovete entrare nel
#From: help256,IP address
help256,Indirizzo IP
#From: help257,and
help257, e
#From: help258,Your ISP provides you with all of this information.
help258, Il vostro ISP vi fornisce tutte queste informazioni.
#From: bwn.DWM,DHCP WAN Mode
bwn.DWM, DHCP WAN Mode
#From: help259,A method of connection where the ISP assigns your IP address when your router requests one from the ISP's server. Some ISP's require you to make some settings on your side before your router can connect to the Internet.
help259,Metodo di connessione in cui il provider di servizi Internet (ISP) assegna l'indirizzo IP quando il router lo richiede al server dell'ISP. Alcuni provider richiedono all'utente di configurare una serie di impostazioni per consentire al router di connettersi a Internet.
#From: help260,Host Name:
help260, Nome Ospite:
#From: help261,Some ISP's may check your computer's Host Name. The Host Name identifies your system to the ISP's server. This way they know your computer is eligible to receive an IP address. In other words, they know that you are paying for their service.
help261, Alcuni ISP's possono controllare il Nome Ospite del vostro computer. Il Nome Ospite identifica il vostro sistema al server di ISP. Questo senso conoscono che il vostro computer è eleggibile ricevere un IP indirizzo. Cioè sanno che state pagando il loro servizio.
#From: help261a,This option is normally turned off, and should remain off as long as the WAN-side DHCP server correctly provides an IP address to the router. However, if the router cannot obtain an IP address from the DHCP server, the DHCP server may be one that works better with unicast responses. In this case, turn the unicasting option on, and observe whether the router can obtain an IP address. In this mode, the router accepts unicast responses from the DHCP server instead of broadcast responses.
help261a,Questa opzione è solitamente disattivata e deve rimanere disattivata fintanto che il server DHCP sul lato WAN non offre correttamente un indirizzo IP al router. Tuttavia, se il router non può ottenere un indirizzo IP dal server DHCP, il server DHCP può funzionare meglio con risposte unicast. In questo caso, attivare l'opzione unicasting e controllare se il router riesce a ottenere un indirizzo IP. In questa modalit? il router può accettare risposte unicast dal server DHCP piuttosto che risposte broadcast.
#From: help262,Enable BigPond:
help262, Permetta BigPond:
#From: help263,Check this option to connect to the internet through Telstra BigPond Cable Broadband in Australia. Telstra BigPond provides the values for
help263, Controlli questa opzione per collegare al Internet attraverso Telstra BigPond Cable Broadband in Australia. Telstra BigPond fornisce i valori per
#From: help264,and
help264, e
#From: .PPPoE,PPPoE
.PPPoE,PPPoE
#From: help265,Select this option if your ISP requires you to use a PPPoE (Point to Point Protocol over Ethernet) connection. DSL providers typically use this option. This method of connection requires you to enter a <span class="option">Username</span> and <span class="option">Password</span> (provided by your Internet Service Provider) to gain access to the Internet.
help265, Selezioni questa opzione se il vostro ISP vi richiede di usare un collegamento di PPPoE (Punto a Punto Protocollo sopra Ethernet). I fornitori di DSL usano tipicamente questa opzione. Questo metodo di collegamento vi richiede di entrare un <span class="option">Nome d'utente</span> e <span class="option">Parola d'accesso</span> (fornito dal vostro Internet Service Provider) accedere al Internet.
#From: bw.sap,The supported authentication protocols are PAP and CHAP.
bw.sap, I protocolli sostenuti di autenticazione sono PAP e CHAP.
#From: help265.7,If the ISP's servers assign the router's IP addressing upon establishing a connection, select this option.
help265.7, Se i server di ISP assegnano il IP del router che richiama sulla stabilizzazione del collegamento, selezioni questa opzione.
#From: help265.2,If your ISP has assigned a fixed IP address, select this option. The ISP provides the value for the
help265.2, Se il vostro ISP ha assegnato un IP address fisso, selezioni questa opzione. L'ISP fornisce il valore per
#From: help266,Service Name:
help266, Nome Di Servizio:
#From: help267,Some ISP's may require that you enter a Service Name. Only enter a Service Name if your ISP requires one.
help267, Alcuni ISP possono richiedere che digitate un nome di servizio. Digiti soltanto un nome di servizio se il vostro ISP richiede uno.
#From: help268,Reconnect Mode:
help268, Ricolleghi Il Modo:
#From: help269,Typically PPPoE connections are not always on. The D-Link router allows you to set the reconnection mode. The settings are:
help269, I collegamenti di PPPoE non sono tipicamente sempre sopra. Il router di D-Link permette che regoliate il modo di riconnessione. Le regolazioni sono:
#From: help270,Always on:
help270, Sempre su:
#From: help271,A connection to the Internet is always maintained.
help271, Un collegamento al Internet è effettuato sempre.
#From: help272,On demand:
help272, A richiesta:
#From: help273,A connection to the Internet is made as needed.
help273, Un collegamento al Internet è fatto come stato necessario.
#From: help274,Manual:
help274, Manuale:
#From: help275,You have to open up the Web-based management interface and click the Connect button manually any time that you wish to connect to the Internet.
help275, Dovete aprire l'interfaccia Web-basata della gestione e click manualmente il tasto di collegamento in qualunque momento che desiderate collegare al Internet.
#From: help276,Maximum Idle Time:
help276, Massimo Ozioso Tempo:
#From: help278,PPTP (Point to Point Tunneling Protocol) uses a virtual private network to connect to your ISP. This method of connection is primarily used in Europe. This method of connection requires you to enter a <span class="option">Username</span> and <span class="option">Password</span> (provided by your Internet Service Provider) to gain access to the Internet.
help278, PPTP (Punto a Punto Protocollo di traforo) usa una rete riservata virtuale per collegare al vostro ISP. Questo metodo di collegamento soprattutto è usato in Europa. Questo metodo di collegamento vi richiede di entrare nella un <span class="option">Nome d??utente</span> <span class="option">Parola d??accesso</span>(fornito dal vostro Internet Service Provider) accedere al Internet.
#From: help265.5,If your ISP has assigned a fixed IP address, select this option. The ISP provides the values for the following fields:
